Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
21,3,4,28,225,1,0,3,0,4,0,9,2,2,0,1,6,6,34,0,1,1,13,14,3,0,3,4,2,3,3,3,5,0,5,0,400,55,1,0,1,1,318,0,0,163,0,0,1,0,3,1,2,4,6,1,2,1,18,2,1,36,4,4,0,0,0,83,0,0,0,3,0,4,0,5,1,8,4,139400
22,0,3,46,508,1,2,3,3,4,0,5,2,2,0,2,7,4,103,52,3,1,12,13,1,183,2,4,2,2,3,3,5,0,5,0,764,658,1,0,1,4,678,0,0,575,0,0,2,0,3,1,2,5,6,1,2,1,88,1,2,211,4,4,2,100,132,0,0,0,0,3,4,4,0,8,2,8,4,230000
23,11,4,15,70,1,2,3,3,4,0,10,2,2,4,2,4,6,77,26,1,1,5,5,3,0,3,4,2,2,3,3,2,429,5,0,112,300,1,4,1,4,281,0,0,136,1,0,1,0,3,1,3,4,6,1,4,1,62,2,2,236,4,4,2,46,92,0,0,0,0,3,4,4,0,5,1,8,4,129900
24,0,3,110,306,1,2,0,3,4,0,19,2,2,0,2,4,7,69,51,1,1,9,10,3,0,3,2,1,3,3,2,4,51,0,116,115,314,1,0,1,4,281,0,0,136,1,0,1,0,3,1,2,4,6,1,4,1,54,2,1,31,4,4,2,239,75,0,0,0,0,3,2,4,0,4,4,8,4,154000
25,0,3,81,924,1,2,3,3,0,0,16,2,2,0,2,7,4,108,57,1,1,12,13,2,296,2,4,2,2,3,3,5,0,5,0,735,585,1,0,1,4,600,0,0,459,0,0,2,0,3,1,2,5,6,1,2,1,93,1,3,409,4,4,2,0,44,0,0,0,0,3,4,4,0,6,3,8,4,256300
26,0,3,31,202,1,2,3,3,0,0,12,2,2,0,2,4,6,52,50,1,1,13,14,3,0,3,4,1,3,3,2,1,76,4,90,98,203,1,4,1,4,163,0,0,63,0,1,1,0,3,1,2,3,6,0,5,5,91,2,2,240,4,4,2,141,21,0,0,0,0,3,4,4,0,4,4,8,4,134800
27,0,3,69,731,1,2,3,3,4,0,16,2,2,0,2,7,4,108,58,1,1,12,13,2,129,2,4,2,0,3,3,2,557,5,0,315,639,1,0,1,4,651,0,0,527,1,0,2,0,3,1,2,5,6,1,2,1,94,1,3,350,4,4,2,0,38,0,0,0,0,3,4,4,0,4,4,8,4,306000
28,0,3,18,981,1,2,0,3,1,0,12,2,2,0,2,4,5,58,47,1,1,8,8,3,0,3,4,1,3,3,1,1,573,5,0,116,551,1,4,1,4,600,0,0,459,1,0,1,0,2,1,3,4,6,2,2,1,43,1,1,61,4,4,2,180,179,0,0,0,0,3,4,4,0,11,0,8,4,207500
29,1,4,31,150,1,2,0,3,4,0,3,1,7,0,2,3,5,31,0,1,1,8,8,3,0,3,4,0,3,3,3,5,0,5,0,334,21,1,1,0,4,6,0,0,3,0,0,1,0,1,1,1,2,6,0,5,5,8,2,1,19,1,4,2,16,0,27,0,0,0,3,4,4,0,4,2,8,4,68500
30,6,0,21,337,1,1,3,3,4,0,9,1,2,0,5,3,3,24,0,2,1,3,3,3,0,3,1,0,3,3,3,5,0,5,0,406,59,1,4,0,4,26,128,0,289,0,0,1,0,3,1,3,4,6,0,5,5,8,2,1,23,4,1,0,0,42,67,0,0,0,3,2,4,0,6,2,8,4,40000
31,0,3,110,345,1,2,0,3,1,0,19,2,2,0,2,4,5,67,56,1,1,6,6,3,0,3,4,1,3,3,3,5,0,5,0,662,420,1,2,1,4,405,0,0,238,0,0,1,1,3,1,2,4,6,0,5,1,52,2,1,32,4,4,2,0,53,0,0,0,0,3,2,4,0,5,2,8,4,149350
32,0,3,56,674,1,2,3,3,0,0,5,2,2,0,2,7,4,108,57,1,1,12,13,3,0,2,4,2,0,3,0,5,0,5,0,664,422,1,0,1,4,408,0,0,242,0,0,2,0,3,1,2,5,6,0,5,1,93,1,2,170,4,4,2,0,20,0,0,0,0,3,4,4,0,0,2,8,4,179900
33,0,3,41,614,1,2,0,3,4,0,12,2,2,0,2,4,4,60,9,3,1,3,3,3,0,3,4,1,3,3,3,4,503,5,0,237,512,1,2,1,4,648,0,0,524,0,1,1,1,4,1,2,4,6,1,2,1,45,1,2,138,4,4,2,0,26,0,0,0,0,3,4,4,0,3,4,8,4,165500
34,11,3,31,211,1,2,3,3,4,0,16,2,2,4,2,8,4,106,55,3,1,8,8,1,161,0,4,2,0,3,3,2,538,5,0,256,582,1,0,1,4,582,0,0,437,1,0,2,0,2,1,0,4,6,1,2,1,91,0,2,226,4,4,2,128,35,0,0,0,0,3,4,4,0,7,1,8,4,277500
35,5,3,79,876,1,2,3,3,4,0,16,2,2,0,5,7,4,105,55,1,1,12,13,2,81,2,4,2,0,3,0,5,0,5,0,633,353,1,0,1,4,336,389,0,788,0,0,3,1,4,1,2,7,6,1,2,3,90,0,3,313,4,4,2,54,21,0,0,0,0,3,4,4,0,8,0,8,4,309000
36,0,3,83,656,1,2,3,3,0,0,5,2,2,0,2,4,4,95,45,1,1,12,13,3,0,3,4,2,2,3,3,5,0,5,0,627,338,1,0,1,4,310,0,0,157,0,0,1,1,3,1,3,4,6,0,5,1,81,2,2,300,4,4,2,233,52,0,0,0,0,3,4,4,0,5,3,8,4,145000
37,0,3,45,343,1,2,3,3,4,0,12,2,2,0,2,4,5,55,40,3,1,13,14,1,297,3,4,1,3,3,3,4,555,5,0,29,461,1,2,1,4,448,0,0,278,0,1,1,0,3,1,3,3,6,1,4,1,40,0,2,180,4,4,2,0,0,0,0,0,0,3,4,4,0,9,3,8,4,153000
38,0,3,39,269,1,2,3,3,4,0,12,2,2,0,2,4,6,54,57,1,1,12,13,3,0,3,2,1,3,3,3,2,371,5,0,202,311,1,4,1,4,279,0,0,135,1,0,1,0,3,1,2,3,6,0,5,5,39,2,1,21,4,4,2,0,40,0,0,0,0,3,4,4,0,0,4,8,0,109000
39,10,3,36,136,1,2,3,3,4,0,7,2,2,2,2,3,4,56,5,1,1,0,10,3,0,3,4,2,4,4,4,6,0,6,0,0,0,1,4,0,2,352,0,0,197,0,0,2,0,2,2,1,4,6,0,5,6,97,3,0,0,5,5,0,0,0,0,0,0,0,3,4,4,0,5,2,8,1,82000
40,0,3,55,354,1,2,3,3,4,0,12,2,2,0,2,5,4,66,15,1,1,13,14,1,58,3,4,1,3,3,3,4,320,5,0,285,332,1,0,1,4,463,0,0,293,0,0,2,0,3,1,3,4,6,1,4,1,51,1,2,133,4,4,2,0,118,0,0,0,0,3,1,4,0,11,0,8,0,160000
41,0,3,85,994,1,2,3,3,4,0,23,2,2,0,2,4,5,60,9,1,1,12,13,3,0,3,2,1,3,3,1,1,477,5,0,239,486,1,2,1,4,466,0,0,295,0,1,1,1,2,1,3,3,6,2,2,1,45,1,1,56,4,4,1,0,88,0,0,0,0,3,4,4,0,6,1,8,4,170000
42,9,3,110,435,1,2,0,3,1,0,20,2,2,0,6,4,6,84,33,1,1,6,6,3,0,3,4,1,2,3,0,0,382,3,10,0,168,1,2,1,4,151,0,0,57,1,0,1,0,2,1,2,3,6,0,5,1,69,1,2,185,4,2,2,154,0,0,0,0,0,3,2,4,0,11,1,8,4,144000
43,0,3,110,438,1,2,0,3,1,0,5,2,2,0,2,4,5,76,30,3,1,12,13,3,0,3,4,1,2,3,0,3,96,1,91,85,226,1,4,1,4,191,0,0,81,1,0,1,0,3,1,3,3,6,0,5,5,63,2,1,56,4,4,2,79,0,0,0,0,0,3,2,4,0,6,2,8,4,130250
44,0,3,41,274,1,2,3,3,4,0,12,2,2,0,2,4,5,60,9,1,1,3,14,3,0,3,4,1,3,3,3,0,46,1,96,300,373,1,0,1,0,351,0,0,196,1,0,1,0,3,1,3,4,6,0,5,1,45,1,1,50,4,4,2,0,0,0,0,0,0,3,4,4,0,4,0,8,4,141000
45,11,3,32,240,1,2,3,3,4,0,16,2,2,4,2,8,4,106,55,3,1,8,8,1,243,0,4,2,0,3,3,2,207,5,0,680,653,1,0,1,4,669,0,0,556,1,0,2,0,2,1,0,4,6,1,2,1,91,1,2,240,4,4,2,121,68,0,0,0,0,3,4,4,0,1,4,8,4,319900
46,4,3,19,846,1,2,0,3,1,0,11,2,2,0,0,6,4,104,53,1,1,12,13,3,0,2,4,2,0,3,3,2,591,5,0,28,528,1,0,1,4,558,112,0,721,1,0,1,1,1,1,2,4,6,1,0,1,89,1,2,298,4,4,2,97,31,0,0,45,0,3,4,4,0,7,3,8,0,239686
47,0,1,55,679,1,2,3,3,4,0,21,2,2,0,2,7,4,107,56,1,1,12,13,3,0,2,4,2,2,3,0,2,4,5,0,747,624,1,0,1,4,626,0,0,493,0,0,2,0,3,1,2,5,6,0,5,1,92,1,3,374,4,4,2,0,123,0,0,0,0,3,4,4,0,6,1,8,4,249700
48,14,4,4,83,1,2,3,3,4,0,17,2,2,1,5,3,4,24,58,1,1,8,8,3,0,3,4,0,3,3,3,5,0,5,0,459,107,1,2,1,4,59,158,0,366,0,0,2,0,2,3,3,6,6,0,5,6,97,3,0,0,5,5,0,0,0,35,0,0,0,3,4,4,0,5,3,6,5,113000
49,0,3,37,248,1,2,3,3,4,0,19,2,2,0,2,4,6,67,16,1,1,6,6,3,0,3,4,1,3,3,3,1,389,5,0,106,240,1,0,1,4,203,0,0,89,1,0,1,0,3,1,3,4,6,0,5,1,52,2,1,92,4,4,2,0,0,0,0,0,0,3,2,4,0,0,1,8,4,127000
50,5,3,110,907,1,2,1,3,0,0,8,2,2,0,5,5,5,98,47,1,1,12,13,3,0,3,4,2,2,3,0,2,48,5,0,388,138,1,2,1,4,93,131,0,375,0,1,2,0,3,1,3,4,6,0,5,1,83,0,2,93,4,4,2,0,62,0,0,0,0,3,4,4,0,6,1,8,4,177000
51,4,4,23,145,1,2,3,3,4,0,3,2,2,0,0,5,5,37,0,1,1,13,14,3,0,3,4,2,3,3,3,5,0,5,0,512,155,1,4,1,4,110,0,9,208,0,0,1,0,3,1,3,4,6,1,2,5,71,2,2,205,4,4,2,53,0,0,0,0,0,3,2,2,3,8,0,8,4,114500
52,10,4,81,332,0,2,1,0,0,1,9,8,2,2,2,4,4,64,13,1,1,13,14,3,0,1,4,1,2,3,1,3,25,2,121,0,155,1,4,0,4,110,0,0,35,1,0,1,0,2,1,3,3,6,0,5,4,49,2,2,196,4,4,2,50,0,0,0,0,0,3,4,4,0,4,4,8,4,110000
53,0,3,39,1062,1,2,0,2,4,0,24,2,2,0,2,8,4,82,37,1,7,14,15,3,0,2,4,1,0,3,1,2,630,5,0,7,668,1,2,1,4,690,0,0,595,2,0,0,1,0,1,2,3,6,1,2,1,67,0,3,410,4,4,2,273,59,0,0,0,0,3,4,4,0,10,0,8,4,385000
54,8,3,31,195,1,2,3,0,4,1,12,2,2,0,7,4,4,56,5,1,1,8,8,3,0,3,4,1,3,3,3,0,160,5,0,0,9,1,4,1,4,481,0,0,314,0,0,1,0,3,1,3,4,2,1,4,5,48,2,2,236,4,4,2,0,38,0,0,0,0,3,2,4,0,1,1,8,4,130000
55,0,3,71,564,1,2,0,3,4,0,12,2,2,0,2,5,4,65,14,1,1,6,10,1,178,3,4,1,3,3,3,1,224,5,0,563,524,1,2,1,4,510,0,0,351,0,0,2,0,3,1,3,5,6,1,2,1,50,1,2,240,4,4,2,0,0,0,18,0,0,3,4,4,0,6,2,8,4,180500
56,12,1,1,31,1,1,3,3,4,0,21,2,2,3,5,7,4,100,50,1,1,8,8,1,261,2,4,2,2,3,3,2,325,5,0,198,252,1,0,1,4,226,180,0,549,1,0,2,1,3,1,2,5,6,0,5,1,85,0,2,166,4,4,2,56,0,0,0,0,0,3,4,4,0,7,3,8,0,172500
57,5,3,60,743,1,2,0,3,0,0,5,2,2,0,5,6,4,105,54,1,1,12,13,3,0,2,4,2,2,3,3,5,0,5,0,527,182,1,0,1,4,137,236,0,539,0,0,2,1,3,1,2,5,6,0,5,1,90,1,2,231,4,4,2,0,58,0,0,0,0,3,4,4,0,7,0,8,4,196500
58,5,3,37,894,1,2,1,1,1,0,22,2,2,0,5,9,4,107,56,3,1,12,13,1,320,0,4,2,0,3,1,5,0,5,0,707,516,1,0,1,4,511,407,0,841,0,0,3,1,3,1,2,8,6,1,2,3,92,0,3,283,4,4,2,118,0,8,0,0,0,3,4,4,0,9,0,6,5,438780
59,0,3,31,202,1,2,3,0,4,0,5,2,2,0,2,4,6,73,22,1,1,6,6,3,0,3,4,1,3,3,0,0,314,5,0,71,130,1,0,1,4,84,0,0,24,0,0,1,0,2,1,3,2,6,0,5,5,59,2,1,76,4,4,2,121,0,0,0,0,0,3,2,4,0,0,2,8,4,124900
60,0,3,34,860,1,2,3,3,4,0,20,5,2,0,2,5,4,105,54,1,1,12,13,3,0,3,4,2,2,3,3,0,470,5,0,121,380,1,0,1,4,357,0,0,200,1,0,1,1,3,1,2,3,6,0,5,5,92,2,2,240,4,4,2,0,38,0,0,0,0,3,4,4,0,4,0,6,5,158000
61,7,4,31,202,1,2,3,3,4,0,9,2,2,0,4,4,6,24,46,1,1,8,8,3,0,3,4,0,3,0,3,5,0,5,0,340,24,1,4,0,4,16,64,0,166,0,0,1,0,3,1,1,4,6,0,5,5,23,2,1,43,4,4,0,0,0,54,0,0,0,3,4,4,0,2,1,8,4,101000
62,11,3,15,157,1,2,0,3,4,0,16,2,2,4,2,7,4,107,56,1,1,12,13,2,118,2,4,2,2,1,2,2,4,5,0,689,496,1,0,1,4,487,0,0,322,0,0,2,0,2,1,2,4,6,1,2,1,92,1,2,170,4,4,2,59,37,0,0,0,0,3,4,4,0,9,1,8,4,202500
63,6,4,21,583,1,2,0,0,4,0,17,6,1,0,5,6,5,25,0,1,1,11,12,3,0,3,4,0,3,3,3,5,0,5,0,369,38,1,2,1,4,165,209,0,531,0,0,2,0,3,1,3,7,6,0,5,5,76,2,2,166,4,4,2,1,4,19,0,0,0,3,0,4,0,3,4,8,4,140000
64,5,3,110,464,1,2,3,3,4,0,5,2,2,0,5,6,4,98,48,1,1,12,13,1,284,3,4,2,2,3,3,2,378,5,0,195,311,1,0,1,4,279,293,0,683,1,0,2,1,3,1,2,6,6,0,5,1,84,1,2,286,4,4,2,266,25,0,0,0,0,3,0,4,0,1,3,8,4,219500
65,5,3,47,497,1,2,3,3,4,0,16,2,2,0,5,7,4,105,55,1,1,12,13,1,219,2,4,2,0,3,0,5,0,5,0,643,368,1,0,1,4,345,391,0,792,0,0,2,1,4,1,2,7,6,1,2,3,90,1,3,389,4,4,2,118,126,0,0,0,0,3,4,4,0,9,1,8,4,317000
66,0,3,110,1020,1,2,3,3,4,0,12,3,2,0,2,6,4,71,39,1,1,9,10,1,187,3,4,1,2,3,1,2,459,5,0,604,685,1,4,1,4,736,0,0,737,1,0,2,0,3,1,3,5,2,1,2,1,56,1,2,240,4,4,2,189,0,0,0,0,0,3,4,4,0,6,4,8,4,180000
67,0,3,43,634,1,2,0,3,4,0,5,2,2,0,2,6,4,104,53,1,1,12,13,1,109,2,4,2,2,3,0,2,500,5,0,281,535,1,0,1,4,538,0,0,384,1,0,2,0,3,1,2,5,6,0,5,1,89,1,2,227,4,4,2,78,19,0,0,0,0,3,4,4,0,5,1,8,4,226000
68,1,4,18,87,1,2,3,3,0,0,17,0,2,0,2,3,5,46,0,1,1,8,8,3,0,3,2,1,3,3,3,5,0,5,0,466,114,1,4,1,4,63,0,0,15,0,0,1,0,2,1,3,2,6,0,5,1,31,2,1,14,4,4,2,0,0,0,0,0,0,3,4,4,0,5,4,8,4,80000
69,4,3,52,963,1,2,3,3,0,0,4,2,2,0,0,6,3,54,3,1,1,3,0,3,0,2,4,1,3,3,3,1,294,5,0,434,466,2,4,1,4,453,298,0,757,0,0,2,0,3,1,3,5,6,1,4,1,39,0,2,296,4,4,2,0,11,39,0,0,0,3,4,4,0,6,0,8,4,225000
70,0,3,66,891,1,2,0,3,4,0,12,2,2,0,2,6,5,74,23,1,1,9,10,1,322,3,2,1,2,3,1,0,631,5,0,212,709,1,0,1,4,738,0,0,740,1,0,2,0,3,1,3,6,6,2,2,1,59,0,2,196,4,4,2,188,0,0,0,0,0,3,4,4,0,1,1,8,4,244000
71,0,3,40,237,1,2,3,3,0,0,11,2,2,0,2,3,5,83,56,1,1,6,10,3,0,3,4,1,3,3,3,0,272,5,0,165,171,1,4,1,4,126,0,0,44,1,0,1,0,2,1,3,2,6,0,5,5,73,2,2,79,4,4,2,0,0,0,0,0,0,3,4,4,0,5,1,8,4,129500
72,5,3,45,558,1,2,0,3,0,0,8,2,2,0,5,6,4,99,48,1,1,12,13,1,16,3,4,2,2,3,3,5,0,5,0,516,164,1,2,1,4,152,221,0,537,0,0,2,1,3,1,3,5,6,1,4,1,84,0,2,121,4,4,2,0,79,0,0,67,0,3,4,4,0,11,3,8,4,185000
73,0,3,56,569,1,2,3,3,4,0,12,2,2,0,2,4,6,55,53,1,1,13,14,1,60,3,4,1,3,3,3,0,120,1,70,253,331,1,2,1,4,301,0,0,150,1,0,1,0,3,1,3,4,6,0,5,1,75,2,2,173,4,4,2,0,0,0,0,0,0,3,1,4,0,4,4,8,4,144900
74,4,4,31,127,1,2,3,3,0,0,17,2,2,0,5,2,5,19,0,2,1,12,13,3,0,2,2,1,1,3,3,5,0,5,0,519,168,1,2,0,4,123,184,0,464,0,0,2,0,3,2,3,6,6,0,5,5,5,2,1,89,4,4,2,0,0,82,0,0,0,3,4,4,0,4,4,8,4,107400
75,13,4,0,5,1,2,3,3,4,0,10,2,2,3,7,3,4,74,23,1,1,5,5,3,0,3,4,1,2,3,1,2,211,5,0,0,14,1,4,1,4,8,42,0,105,1,0,1,0,2,1,3,3,6,0,5,3,59,2,1,48,4,4,2,59,85,0,0,0,0,3,1,4,0,10,3,8,4,91000
76,0,3,110,333,1,2,0,3,4,0,12,2,2,0,2,3,6,57,6,1,1,12,13,3,0,3,4,1,3,3,3,0,74,5,0,449,237,1,0,1,0,200,0,0,87,0,0,1,0,2,1,3,2,6,0,5,5,42,2,1,39,4,4,2,0,0,0,0,0,0,3,4,4,0,3,2,8,4,135750
77,4,4,21,352,1,2,3,3,4,0,3,2,2,0,0,4,4,49,51,1,1,13,14,3,0,3,4,1,3,3,3,1,130,2,5,177,70,1,4,1,4,291,5,0,272,1,0,1,0,2,1,3,4,2,0,5,5,34,2,1,19,4,4,2,0,0,0,0,0,0,3,2,4,0,0,2,8,4,127000
78,10,3,43,646,1,2,3,3,4,0,19,2,2,2,2,3,4,69,18,3,1,6,6,3,0,3,4,1,3,3,3,5,0,5,0,762,657,1,4,0,4,671,0,0,563,0,0,2,0,4,2,3,6,6,0,5,6,97,3,0,0,5,5,2,0,0,0,0,0,0,3,4,4,0,3,4,8,4,136500
79,4,4,31,603,1,0,3,3,0,0,17,2,2,0,5,4,5,14,31,1,1,13,14,3,0,3,4,2,3,3,3,5,0,5,0,281,12,1,2,1,4,37,72,0,240,0,0,1,1,2,1,3,3,6,0,5,5,52,2,2,133,4,4,2,30,0,45,0,0,0,3,2,4,0,4,3,8,4,110000
